H1,H2,DD1,UD1,user_id
79,90,223,144,65
73,69,210,137,65
78,68,177,99,65
61,89,278,217,65
54,85,228,174,65
54,64,375,321,65
64,95,236,172,65
52,69,175,123,65
60,65,187,127,65
32,62,181,149,66
34,46,141,107,66
59,42,571,512,66
44,35,186,142,66
52,44,711,659,66
69,44,304,235,66
53,53,420,367,66
52,61,312,260,66
53,43,246,193,66
51,59,188,137,66
51,53,178,127,66
62,52,472,410,66
26,53,150,124,66
44,54,168,124,66
70,60,412,342,66
72,54,211,139,66
59,52,195,136,66
59,72,167,108,66
62,62,186,124,66
62,53,180,118,66
55,95,283,228,67
70,99,247,177,67
91,110,318,227,67
69,111,237,168,67
72,112,264,192,67
73,113,276,203,67
57,110,262,205,67
49,123,243,194,67
70,131,308,238,67
83,115,279,196,67
101,117,279,178,67
95,113,300,205,67
41,97,290,249,67
93,113,301,208,67
76,92,307,231,67
82,88,342,260,67
72,87,535,463,67
93,73,335,242,67
92,127,314,222,67
90,98,263,173,67
42,28,2493,2451,68
41,52,388,347,68
67,34,391,324,68
1,40,1874,1873,68
38,32,249,211,68
51,40,243,192,68
47,16,444,397,68
63,47,335,272,68
42,40,210,168,68
51,55,176,125,68
46,43,172,126,68
36,55,165,129,68
33,55,169,136,68
72,40,277,205,68
47,48,267,220,68
39,38,236,197,68
46,47,208,162,68
51,31,897,846,68
39,22,175,136,68
42,23,213,171,68
13,70,445,432,69
79,92,474,395,69
64,82,120,56,69
88,77,143,55,69
51,53,130,79,69
58,62,115,57,69
50,71,162,112,69
65,104,162,97,69
82,72,144,62,69
91,94,160,69,69
53,81,153,100,69
67,95,137,70,69
56,56,143,87,69
66,50,131,65,69
50,66,168,118,69
63,62,151,88,69
64,93,107,43,69
65,61,124,59,69
66,64,106,40,69
71,52,149,78,69
51,19,881,830,70
39,63,459,420,70
